vlm_model,mode,video,true,pred,correct,per_video_f1,closest,score_meeting,score_phone_use,score_eating_drinking,score_video_call,score_using_computer,llm_pred_raw,raw_classifier_output,n_frames,total_caption_time_s,avg_caption_time_s,classifier_time_s,total_video_time_s
internvl2_2b,stm,on_the_laptop.mp4,using_computer,using_computer,1,1.0,using_computer,0,5,2,20,24,using_computer,label=using_computer,15,146.930064,9.795338,20.394481,167.326446
internvl2_2b,stm,phone1.mp4,phone_use,phone_use,1,1.0,phone_use,0,35,0,12,0,video_call,label=video_call,17,167.087541,9.828679,17.003003,184.092132
internvl2_2b,stm,eating_drinking.mp4,eating_drinking,video_call,0,0.0,video_call,0,5,8,12,5,eating_drinking,label=eating_drinking,15,146.258737,9.750582,16.458472,162.718652
internvl2_2b,stm,videocall2.mp4,video_call,using_computer,0,0.0,using_computer,0,1,0,18,20,using_computer,label=using_computer,20,186.770637,9.338532,15.414364,202.186395
internvl2_2b,stm,on_the_laptop2.mp4,using_computer,using_computer,1,1.0,using_computer,0,6,0,17,31,video_call,label=video_call,18,206.132778,11.451821,16.894765,223.028858
internvl2_2b,stm,on_the_laptop3.mp4,using_computer,using_computer,1,1.0,using_computer,0,10,0,0,24,using_computer,label=using_computer,14,136.13478,9.723913,15.724114,151.860231
internvl2_2b,stm,main_activity.mp4,using_computer,using_computer,1,1.0,using_computer,0,3,15,13,20,using_computer,label=using_computer,30,228.184065,7.606135,16.366702,244.552173
internvl2_2b,stm,main_activity_main.mp4,phone_use,using_computer,0,0.0,using_computer,0,13,0,15,27,video_call,label=video_call,18,197.518358,10.973242,16.534881,214.054785
internvl2_2b,stm,main.mp4,using_computer,using_computer,1,1.0,video_call,0,5,6,21,19,using_computer,label=using_computer\nlabel=using_computer\nlabel=using_computer\nlabel=using_computer\nlabel=using_computer\nlabel=using_computer\nlabel=video_call\nlabel=using_computer\nlabel=using_computer\nlabel=,30,336.238632,11.207954,29.281164,365.521203
internvl2_2b,stm,meeting1.mp4,meeting,video_call,0,0.0,video_call,0,6,0,25,9,using_computer,label=using_computer,11,126.452116,11.495647,16.897118,143.35058
internvl2_2b,stm,meeting3.mp4,meeting,video_call,0,0.0,video_call,0,2,0,30,14,using_computer,label=using_computer,19,179.675672,9.456614,16.755512,196.433502
internvl2_2b,stm,meeting4.mp4,meeting,using_computer,0,0.0,using_computer,0,5,0,17,21,using_computer,label=using_computer,22,233.859125,10.62996,18.107478,251.968464
internvl2_2b,stm,phone_use_1.mp4,phone_use,video_call,0,0.0,video_call,0,18,0,30,19,video_call,label=video_call,30,343.559879,11.451996,22.878285,366.439654
internvl2_2b,stm,phone_use_2.mp4,phone_use,phone_use,1,1.0,video_call,0,22,0,23,17,phone_use,label=phone_use,26,292.680062,11.256925,22.53236,315.213846
internvl2_2b,stm,phone_use_3.mp4,phone_use,video_call,0,0.0,video_call,0,13,0,35,0,video_call,label=video_call,30,337.767116,11.258904,22.192472,359.961041
internvl2_2b,stm,phone_use_4.mp4,phone_use,video_call,0,0.0,video_call,0,17,0,25,21,video_call,label=video_call,30,324.773475,10.825782,22.831112,347.606035
internvl2_2b,stm,using_computer5.mp4,using_computer,video_call,0,0.0,video_call,0,8,17,19,12,using_computer,label=using_computer,30,352.234909,11.741164,21.589993,373.826322
internvl2_2b,none,on_the_laptop.mp4,using_computer,using_computer,1,1.0,using_computer,0,7,2,27,28,using_computer,label=using_computer,15,161.441073,10.762738,23.712012,185.154532
internvl2_2b,none,phone1.mp4,phone_use,phone_use,1,1.0,phone_use,0,44,0,19,0,video_call,label=video_call,17,158.04449,9.296735,23.549227,181.595003
internvl2_2b,none,eating_drinking.mp4,eating_drinking,video_call,0,0.0,video_call,0,6,11,14,6,eating_drinking,label=eating_drinking,15,149.218954,9.94793,22.919627,172.139904
internvl2_2b,none,videocall2.mp4,video_call,video_call,1,1.0,video_call,0,3,0,37,34,using_computer,"label=using_computer\n\n(Note: Based on the given observations, it appears that the person is primarily using a laptop during the entire duration of the video. Therefore, the label ""using_computer"" is the most appropriate choice for the majority of the observations.)",20,186.252888,9.312644,29.438731,215.69302
internvl2_2b,none,on_the_laptop2.mp4,using_computer,using_computer,1,1.0,using_computer,1,10,0,34,42,video_call,label=video_call,18,205.74994,11.430552,21.952243,227.703598
internvl2_2b,none,on_the_laptop3.mp4,using_computer,using_computer,1,1.0,using_computer,0,12,0,0,28,using_computer,label=using_computer,14,134.65489,9.618206,21.936088,156.592464
internvl2_2b,none,main_activity.mp4,using_computer,using_computer,1,1.0,using_computer,0,5,21,19,83,using_computer,label=using_computer,30,232.334928,7.744498,21.091306,253.427664
internvl2_2b,none,main_activity_main.mp4,phone_use,video_call,0,0.0,video_call,0,20,2,35,32,video_call,label=video_call,18,194.527613,10.80709,21.336613,215.865615
internvl2_2b,none,main.mp4,using_computer,using_computer,1,1.0,using_computer,0,15,14,45,56,using_computer,label=using_computer,30,324.302966,10.810099,23.445276,347.74972
internvl2_2b,none,meeting1.mp4,meeting,video_call,0,0.0,video_call,0,6,0,25,9,using_computer,label=using_computer,11,117.668112,10.697101,16.641213,134.31065
internvl2_2b,none,meeting3.mp4,meeting,video_call,0,0.0,video_call,0,2,0,44,23,using_computer,label=using_computer,19,172.614804,9.08499,21.319528,193.936326
internvl2_2b,none,meeting4.mp4,meeting,using_computer,0,0.0,using_computer,0,6,0,28,31,using_computer,label=using_computer,22,223.712232,10.168738,21.488787,245.203186
internvl2_2b,none,phone_use_1.mp4,phone_use,video_call,0,0.0,video_call,0,43,1,70,43,video_call,label=video_call,30,329.404259,10.980142,27.14257,356.548414
internvl2_2b,none,phone_use_2.mp4,phone_use,video_call,0,0.0,video_call,0,36,0,48,38,,label=phone\_use,26,273.664059,10.525541,25.073643,298.739388
internvl2_2b,none,phone_use_3.mp4,phone_use,video_call,0,0.0,video_call,0,32,0,87,5,video_call,label=video_call,30,315.98891,10.532964,37.906029,353.896501
internvl2_2b,none,phone_use_4.mp4,phone_use,using_computer,0,0.0,using_computer,0,39,2,50,53,video_call,label=video_call,30,304.297961,10.143265,19.08453,323.384007
internvl2_2b,none,using_computer5.mp4,using_computer,eating_drinking,0,0.0,eating_drinking,0,24,55,48,36,using_computer,label=using_computer,30,333.103191,11.10344,38.466652,371.571396
